Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
PERIODONTITIS, LOCALIZED AGGRESSIVE	1/6	0.002996578172872153	0.0304568941923905	0	0	444.1111111111111	2580.4117942926405	CLU
THYROID HORMONE RESISTANCE, GENERALIZED, AUTOSOMAL DOMINANT	1/6	0.002996578172872153	0.0304568941923905	0	0	444.1111111111111	2580.4117942926405	THRB
Thyroid Hormone Resistance, Generalized, Autosomal Recessive	1/6	0.002996578172872153	0.0304568941923905	0	0	444.1111111111111	2580.4117942926405	THRB
Pineal germinoma	1/6	0.002996578172872153	0.0304568941923905	0	0	444.1111111111111	2580.4117942926405	KIT
Ovarian Failure, Premature	2/175	0.0032712037846386443	0.0304568941923905	0	0	28.637283236994218	163.87963778279843	CXCL12;KIT
Immunologic Deficiency Syndromes	3/641	0.0033221475738366606	0.0304568941923905	0	0	12.999552171965965	74.190314173634	CXCL12;ALDH1A1;CLU
Refractory cancer	2/177	0.0033448331590871135	0.0304568941923905	0	0	28.307142857142857	161.36029524435918	KIT;CLU
Dyschezia	2/178	0.0033819400511227505	0.0304568941923905	0	0	28.144886363636363	160.12486394918403	THRB;KIT
Brain Neoplasms	3/646	0.0033960961837771115	0.0304568941923905	0	0	12.895134414574539	73.31049859935835	CXCL12;KIT;CLU
Malignant Cystosarcoma Phyllodes	1/7	0.0034952242970889957	0.0304568941923905	0	0	370.0740740740741	2093.271349114512	KIT
Secondary malignant neoplasm of bone marrow	1/7	0.0034952242970889957	0.0304568941923905	0	0	370.0740740740741	2093.271349114512	CXCL12
Fibromatosis, Abdominal	1/7	0.0034952242970889957	0.0304568941923905	0	0	370.0740740740741	2093.271349114512	KIT
Myelolipoma	1/7	0.0034952242970889957	0.0304568941923905	0	0	370.0740740740741	2093.271349114512	KIT
Childhood Acute Promyelocytic Leukemia with PML-RARA	1/7	0.0034952242970889957	0.0304568941923905	0	0	370.0740740740741	2093.271349114512	KIT
colon (non-specific) lesion	1/7	0.0034952242970889957	0.0304568941923905	0	0	370.0740740740741	2093.271349114512	KIT
Tooth Agenesis, Familial	1/7	0.0034952242970889957	0.0304568941923905	0	0	370.0740740740741	2093.271349114512	AXIN2
Toxic multinodular goiter	1/7	0.0034952242970889957	0.0304568941923905	0	0	370.0740740740741	2093.271349114512	THRB
Intraocular Lymphoma	1/7	0.0034952242970889957	0.0304568941923905	0	0	370.0740740740741	2093.271349114512	CXCL12
Postpartum Thyroiditis	1/7	0.0034952242970889957	0.0304568941923905	0	0	370.0740740740741	2093.271349114512	THRB
Angiosarcoma of Soft Tissue	1/7	0.0034952242970889957	0.0304568941923905	0	0	370.0740740740741	2093.271349114512	KIT
Primary Myelofibrosis	2/182	0.00353231182706702	0.0304568941923905	0	0	27.51388888888889	155.33798855823653	CXCL12;KIT
Sarcoma	3/658	0.0035777427135064662	0.0304568941923905	0	0	12.651035986913849	71.2635792738428	KIT;ALDH1A1;CLU
Ulcer	2/184	0.0036086619467618486	0.0304568941923905	0	0	27.208791208791208	153.03362121513777	CXCL12;KIT
Liver carcinoma	6/3593	0.003622771395556328	0.0304568941923905	0	0	6.85935321996097	38.55310429723258	CXCL12;THRB;KIT;ALDH1A1;AXIN2;CLU
Malignant neoplasm of testis	2/185	0.0036471274924363114	0.0304568941923905	0	0	27.058743169398905	151.90278936876055	KIT;CLU
Pancreatic Neoplasm	3/665	0.003686442764808808	0.0304568941923905	0	0	12.512731981009926	70.11000480598744	CXCL12;KIT;ALDH1A1
Bronchopulmonary Dysplasia	2/188	0.0037636841126858765	0.0304568941923905	0	0	26.618279569892472	148.59273886129486	CXCL12;CTSG
Deglutition Disorders	2/191	0.003881977282000682	0.0304568941923905	0	0	26.191798941798943	145.4014314936179	KIT;CACNA1A
Anticipation, Genetic	1/8	0.0039936462613403625	0.0304568941923905	0	0	317.1904761904762	1751.8590547314027	CACNA1A
Blonde eyebrow	1/8	0.0039936462613403625	0.0304568941923905	0	0	317.1904761904762	1751.8590547314027	KIT
Sensory denervation disorder	1/8	0.0039936462613403625	0.0304568941923905	0	0	317.1904761904762	1751.8590547314027	CLU
Hallucinations, Auditory	1/8	0.0039936462613403625	0.0304568941923905	0	0	317.1904761904762	1751.8590547314027	CACNA1A
Cerebellar vermis atrophy	1/8	0.0039936462613403625	0.0304568941923905	0	0	317.1904761904762	1751.8590547314027	CACNA1A
Grey eyebrow	1/8	0.0039936462613403625	0.0304568941923905	0	0	317.1904761904762	1751.8590547314027	KIT
MIGRAINE, FAMILIAL HEMIPLEGIC, 2	1/8	0.0039936462613403625	0.0304568941923905	0	0	317.1904761904762	1751.8590547314027	CACNA1A
Ovarian Small Cell Carcinoma	1/8	0.0039936462613403625	0.0304568941923905	0	0	317.1904761904762	1751.8590547314027	KIT
Visually threatening diabetic retinopathy	1/8	0.0039936462613403625	0.0304568941923905	0	0	317.1904761904762	1751.8590547314027	CXCL12
White eyebrow	1/8	0.0039936462613403625	0.0304568941923905	0	0	317.1904761904762	1751.8590547314027	KIT
Alternating hemiplegia of childhood	1/8	0.0039936462613403625	0.0304568941923905	0	0	317.1904761904762	1751.8590547314027	CACNA1A
Esophageal carcinoma	3/685	0.004008273492864764	0.0304568941923905	0	0	12.133221617092584	66.96803885416503	CXCL12;THRB;ALDH1A1
Malignant neoplasm of lung	5/2449	0.004054741004908154	0.0304568941923905	0	0	7.1792144026186575	39.54216860453125	CXCL12;KIT;ALDH1A1;AXIN2;CLU
melanoma	5/2454	0.004091656914080047	0.0304568941923905	0	0	7.162515312372397	39.38527699982446	CXCL12;KIT;ALDH1A1;AXIN2;CLU
Carcinoma of lung	5/2476	0.004257063214600487	0.0304568941923905	0	0	7.089842169162282	38.70469438932644	CXCL12;KIT;ALDH1A1;AXIN2;CLU
Renal fibrosis	2/202	0.004330505039523444	0.0304568941923905	0	0	24.7375	134.6232339962028	CXCL12;CLU
