ID	Gene.Symbol	Gene.Title	log2(fold change)	-log10(Pvalue)
11724282_a_at	UGT1A1 /// UGT1A10 /// UGT1A3 /// UGT1A4 /// UGT1A5 /// UGT1A6 /// UGT1A7 /// UGT1A8 /// UGT1A9	UDP glucuronosyltransferase 1 family, polypeptide A1 /// UDP glucuronosyltransferase 1 family, polypeptide A10 /// UDP glucuronosyltransferase 1 family, polypeptide A3 /// UDP glucuronosyltransferase 1 family, polypeptide A4 /// UDP glucuronosyltransferase 1 family, polypeptide A5 /// UDP glucuronosyltransferase 1 family, polypeptide A6 /// UDP glucuronosyltransferase 1 family, polypeptide A7 /// UDP glucuronosyltransferase 1 family, polypeptide A8 /// UDP glucuronosyltransferase 1 family, polypeptide A9	3.08	7.709
11724296_a_at	BMP7	bone morphogenetic protein 7	-2.205	4.834
11724341_at	PRIMA1	proline rich membrane anchor 1	2.706	8.259
11724367_a_at	SEMA6D	sema domain, transmembrane domain (TM), and cytoplasmic domain, (semaphorin) 6D	2.725	9.476
11724466_x_at	ANLN	anillin actin binding protein	-2.012	6.331
11724488_at	AKR1B10	aldo-keto reductase family 1, member B10 (aldose reductase)	2.347	5.241
11724489_s_at	AKR1B10 /// AKR1B15	aldo-keto reductase family 1, member B10 (aldose reductase) /// aldo-keto reductase family 1, member B15	2.336	5.329
11724490_x_at	AKR1B10	aldo-keto reductase family 1, member B10 (aldose reductase)	2.393	5.223
11724501_at	SPON1	spondin 1, extracellular matrix protein	2.238	4.647
11724503_at	SPON1	spondin 1, extracellular matrix protein	2.326	4.664
11724538_a_at	ABCG2	ATP binding cassette subfamily G member 2 (Junior blood group)	3.769	10.072
11724589_s_at	MMP12	matrix metallopeptidase 12	-2.076	2.85
11724847_a_at	GBA3	glucosidase, beta, acid 3 (gene/pseudogene)	2.44	4.619
11725053_x_at	TOP1MT	topoisomerase (DNA) I, mitochondrial	-2.047	8.531
11725225_at	CHP2	calcineurin-like EF-hand protein 2	3.027	12.076
11725226_at	CHP2	calcineurin-like EF-hand protein 2	3.158	10.035
11725300_a_at	AOC3	amine oxidase, copper containing 3	2.14	4.677
11725496_a_at	GPAT3	glycerol-3-phosphate acyltransferase 3	2.586	10.251
11725553_at	UGT2A3	UDP glucuronosyltransferase 2 family, polypeptide A3	3.172	6.614
11725695_s_at	SDPR	serum deprivation response	2.095	5.721
11725724_a_at	FABP6	fatty acid binding protein 6, ileal	-2.247	2.035
11725765_a_at	COL11A1	collagen, type XI, alpha 1	-2.739	5.786
11725766_x_at	COL11A1	collagen, type XI, alpha 1	-2.626	5.408
11725830_a_at	PLCL2	phospholipase C-like 2	2.081	7.624
11725922_a_at	CLIC6	chloride intracellular channel 6	2.176	7.724
11725980_at	CFD	complement factor D (adipsin)	3.114	8.073
11726063_a_at	C2orf40	chromosome 2 open reading frame 40	3.104	5.702
11726124_at	TCN1	transcobalamin I (vitamin B12 binding protein, R binder family)	-2.196	4.651
11726153_at	POU2AF1	POU class 2 associating factor 1	2.672	7.862
11726188_at	SHISA3	shisa family member 3	2.014	4.694
11726273_a_at	PCK1	phosphoenolpyruvate carboxykinase 1 (soluble)	2.841	6.054
11726274_x_at	PCK1	phosphoenolpyruvate carboxykinase 1 (soluble)	2.739	6.083
11726303_a_at	MFSD4	major facilitator superfamily domain containing 4	2.391	5.763
11726304_x_at	MFSD4	major facilitator superfamily domain containing 4	2.545	5.839
11726500_s_at	ANO5	anoctamin 5	2.05	8.832
11726508_a_at	CDKN2B	cyclin-dependent kinase inhibitor 2B (p15, inhibits CDK4)	3.044	11.446
11726646_a_at	CDHR5	cadherin-related family member 5	2.048	9.165
11726764_at	AQP8	aquaporin 8	4.345	8.163
11726870_at	SETBP1	SET binding protein 1	2.132	7.383
11726884_a_at	LDHD	lactate dehydrogenase D	2.208	8.713
11727052_at	HOXB13	homeobox B13	2.067	2.295
11727141_s_at	EPB41L3	erythrocyte membrane protein band 4.1-like 3	2.939	12.391
11727143_x_at	EPB41L3	erythrocyte membrane protein band 4.1-like 3	2.574	11.351
11727345_s_at	FBLN1	fibulin 1	2.033	4.592
