Id,Label,Degree,Betweenness,Expression,Rank(Degree),Rank(Bet),Avg Rank
219,ALDH1B1,2,64,0,182,120,151,,
501,ALDH7A1,2,64,0,182,120,151,,
1586,CYP17A1,2,61.47,0,182,126,154,,
1545,CYP1B1,2,56.42,0,182,127,154.5,,
10112,KIF20A,2,49,0,182,131,156.5,,
6472,SHMT2,2,44,0,182,133,157.5,,
85407,NKD1,3,1,0,105,213,159,,
85409,NKD2,3,1,0,105,213,159,,
54331,GNG2,2,32.4,0,182,136,159,,
2776,GNAQ,2,23.39,0,182,140,161,,
29968,PSAT1,2,23,0,182,142,162,,
1553,CYP2A13,2,14.85,0,182,147.5,164.75,,
1571,CYP2E1,2,14.85,0,182,147.5,164.75,,
6003,RGS13,2,11.63,0,182,150,166,,
5152,PDE9A,2,8.5,0,182,157,169.5,,
6364,CCL20,2,8.35,0,182,158.5,170.25,,
5468,PPARG,2,8,0,182,160,171,,
2806,GOT2,2,5,0,182,168,175,,
5105,PCK1,2,5,0,182,168,175,,
2335,FN1,2,4,0,182,171,176.5,,
6357,CCL13,2,3.4,0,182,175.5,178.75,,
5473,PPBP,2,3.4,0,182,175.5,178.75,,
1230,CCR1,2,3.4,0,182,175.5,178.75,,
3627,CXCL10,2,3.4,0,182,175.5,178.75,,
10344,CCL26,2,3.4,0,182,175.5,178.75,,
1238,ACKR2,2,3.4,0,182,175.5,178.75,,
284340,CXCL17,2,3.4,0,182,175.5,178.75,,
760,CA2,2,3,0,182,185,183.5,,
2987,GUK1,2,3,0,182,185,183.5,,
4495,MT1G,2,3,0,182,185,183.5,,
5970,RELA,2,2.8,0,182,191,186.5,,
91584,PLXNA4,2,2.5,0,182,192.5,187.25,,
5361,PLXNA1,2,2.5,0,182,192.5,187.25,,
7474,WNT5A,2,2.2,0,182,197,189.5,,
7472,WNT2,2,2.2,0,182,197,189.5,,
89780,WNT3A,2,2.2,0,182,197,189.5,,
54361,WNT4,2,2.2,0,182,197,189.5,,
7477,WNT7B,2,2.2,0,182,197,189.5,,
7078,TIMP3,2,1.33,0,182,200,191,,
2532,ACKR1,2,1.17,0,182,201,191.5,,
1113,CHGA,2,1,0,182,213,197.5,,
4224,MEP1A,2,1,0,182,213,197.5,,
9499,MYOT,2,1,0,182,213,197.5,,
8140,SLC7A5,2,1,0,182,213,197.5,,
84803,GPAT3,2,1,0,182,213,197.5,,
123,PLIN2,2,1,0,182,213,197.5,,
10481,HOXB13,2,1,0,182,213,197.5,,
6493,SIM2,2,1,0,182,213,197.5,,
7123,CLEC3B,2,1,0,182,213,197.5,,
85477,SCIN,2,1,0,182,213,197.5,,
3489,IGFBP6,2,1,0,182,213,197.5,,
125,ADH1B,2,1,0,182,213,197.5,,
387849,REP15,2,1,0,182,213,197.5,,
51330,TNFRSF12A,2,1,0,182,213,197.5,,
116447,TOP1MT,2,1,0,182,213,197.5,,
1908,EDN3,2,1,0,182,213,197.5,,
10231,RCAN2,2,1,0,182,213,197.5,,
7546,ZIC2,2,1,0,182,213,197.5,,
53841,CDHR5,2,1,0,182,213,197.5,,
6335,SCN9A,2,1,0,182,213,197.5,,
9429,ABCG2,2,1,0,182,213,197.5,,
100506658,OCLN,2,0.75,0,182,226,204,,
9414,TJP2,2,0.75,0,182,226,204,,
27134,TJP3,2,0.75,0,182,226,204,,
80031,SEMA6D,2,0.5,0,182,228.5,205.25,,
1675,CFD,2,0.5,0,182,228.5,205.25,,
6347,CCL2,2,0,0,182,529.5,355.75,,
652,BMP4,2,0,0,182,529.5,355.75,,
6366,CCL21,2,0,0,182,529.5,355.75,,
340419,RSPO2,2,0,0,182,529.5,355.75,,
284654,RSPO1,2,0,0,182,529.5,355.75,,
56477,CCL28,2,0,0,182,529.5,355.75,,
4283,CXCL9,2,0,0,182,529.5,355.75,,
6375,XCL1,2,0,0,182,529.5,355.75,,
650,BMP2,2,0,0,182,529.5,355.75,,
23327,NEDD4L,2,0,0,182,529.5,355.75,,
2288,FKBP4,1,0,0,534.5,529.5,532,,
56603,CYP26B1,1,0,0,534.5,529.5,532,,
1080,CFTR,1,0,0,534.5,529.5,532,,
5166,PDK4,1,0,0,534.5,529.5,532,,
10083,USH1C,1,0,0,534.5,529.5,532,,
6344,SCTR,1,0,0,534.5,529.5,532,,
1634,DCN,1,0,0,534.5,529.5,532,,
608,TNFRSF17,1,0,0,534.5,529.5,532,,
5982,RFC2,1,0,0,534.5,529.5,532,,
933,CD22,1,0,0,534.5,529.5,532,,
10272,FSTL3,1,0,0,534.5,529.5,532,,
8646,CHRD,1,0,0,534.5,529.5,532,,
350,APOH,1,0,0,534.5,529.5,532,,
124,ADH1A,1,0,0,534.5,529.5,532,,
2940,GSTA3,1,0,0,534.5,529.5,532,,
5008,OSM,1,0,0,534.5,529.5,532,,
5594,MAPK1,1,0,0,534.5,529.5,532,,
5106,PCK2,1,0,0,534.5,529.5,532,,
343637,RSPO4,1,0,0,534.5,529.5,532,,
23439,ATP1B4,1,0,0,534.5,529.5,532,,
2158,F9,1,0,0,534.5,529.5,532,,
869,CBLN1,1,0,0,534.5,529.5,532,,
5327,PLAT,1,0,0,534.5,529.5,532,,
1178,CLC,1,0,0,534.5,529.5,532,,
973,CD79A,1,0,0,534.5,529.5,532,,
2931,GSK3A,1,0,0,534.5,529.5,532,,
5444,PON1,1,0,0,534.5,529.5,532,,
3912,LAMB1,1,0,0,534.5,529.5,532,,
51384,WNT16,1,0,0,534.5,529.5,532,,
727,C5,1,0,0,534.5,529.5,532,,
59,ACTA2,1,0,0,534.5,529.5,532,,
4353,MPO,1,0,0,534.5,529.5,532,,
7473,WNT3,1,0,0,534.5,529.5,532,,
11216,AKAP10,1,0,0,534.5,529.5,532,,
51225,ABI3,1,0,0,534.5,529.5,532,,
51056,LAP3,1,0,0,534.5,529.5,532,,
5197,PF4V1,1,0,0,534.5,529.5,532,,
3558,IL2,1,0,0,534.5,529.5,532,,
4633,MYL2,1,0,0,534.5,529.5,532,,
11211,FZD10,1,0,0,534.5,529.5,532,,
2784,GNB3,1,0,0,534.5,529.5,532,,
79923,NANOG,1,0,0,534.5,529.5,532,,
55754,TMEM30A,1,0,0,534.5,529.5,532,,
2908,NR3C1,1,0,0,534.5,529.5,532,,
51185,CRBN,1,0,0,534.5,529.5,532,,
2779,GNAT1,1,0,0,534.5,529.5,532,,
59345,GNB4,1,0,0,534.5,529.5,532,,
338,APOB,1,0,0,534.5,529.5,532,,
9784,SNX17,1,0,0,534.5,529.5,532,,
7475,WNT6,1,0,0,534.5,529.5,532,,
5624,PROC,1,0,0,534.5,529.5,532,,
6697,SPR,1,0,0,534.5,529.5,532,,
10459,MAD2L2,1,0,0,534.5,529.5,532,,
335,APOA1,1,0,0,534.5,529.5,532,,
5273,SERPINB10,1,0,0,534.5,529.5,532,,
7976,FZD3,1,0,0,534.5,529.5,532,,
157506,RDH10,1,0,0,534.5,529.5,532,,
6718,AKR1D1,1,0,0,534.5,529.5,532,,
976,ADGRE5,1,0,0,534.5,529.5,532,,
7130,TNFAIP6,1,0,0,534.5,529.5,532,,
130399,ACVR1C,1,0,0,534.5,529.5,532,,
3991,LIPE,1,0,0,534.5,529.5,532,,
1236,CCR7,1,0,0,534.5,529.5,532,,
7186,TRAF2,1,0,0,534.5,529.5,532,,
3976,LIF,1,0,0,534.5,529.5,532,,
8854,ALDH1A2,1,0,0,534.5,529.5,532,,
51554,ACKR4,1,0,0,534.5,529.5,532,,
482,ATP1B2,1,0,0,534.5,529.5,532,,
6320,CLEC11A,1,0,0,534.5,529.5,532,,
1258,CNGB1,1,0,0,534.5,529.5,532,,
2780,GNAT2,1,0,0,534.5,529.5,532,,
4298,MLLT1,1,0,0,534.5,529.5,532,,
3911,LAMA5,1,0,0,534.5,529.5,532,,
314,AOC2,1,0,0,534.5,529.5,532,,
8431,NR0B2,1,0,0,534.5,529.5,532,,
6754,SSTR4,1,0,0,534.5,529.5,532,,
1401,CRP,1,0,0,534.5,529.5,532,,
1116,CHI3L1,1,0,0,534.5,529.5,532,,
3845,KRAS,1,0,0,534.5,529.5,532,,
4544,MTNR1B,1,0,0,534.5,529.5,532,,
6947,TCN1,1,0,0,534.5,529.5,532,,
324,APC,1,0,0,534.5,529.5,532,,
4907,NT5E,1,0,0,534.5,529.5,532,,
1019,CDK4,1,0,0,534.5,529.5,532,,
27345,KCNMB4,1,0,0,534.5,529.5,532,,
3915,LAMC1,1,0,0,534.5,529.5,532,,
3557,IL1RN,1,0,0,534.5,529.5,532,,
9568,GABBR2,1,0,0,534.5,529.5,532,,
5168,ENPP2,1,0,0,534.5,529.5,532,,
5460,POU5F1,1,0,0,534.5,529.5,532,,
7057,THBS1,1,0,0,534.5,529.5,532,,
9493,KIF23,1,0,0,534.5,529.5,532,,
6519,SLC3A1,1,0,0,534.5,529.5,532,,
